match_id,city,stadium,venue_id,country
12156789,Mildura,Court 5,20646,Australia
12156801,Hinode,Court 2,43811,Japan
12156808,Indore,Court 3,19925,India
12156809,New Delhi,COURT 6,31552,India
12156819,Antalya,Court 3,18122,Turkey
12156820,New Delhi,Court 1,31550,India
12156829,Antalya,Court 1,17286,Turkey
12156830,Aktobe,Court 4,20376,Kazakhstan
12156831,Aktobe,Court 2,20377,Kazakhstan
12156839,Larnaca,Court 5,39123,Cyprus
12156846,Aktobe,Court 1,20375,Kazakhstan
12156850,Antalya,Court 4,18123,Turkey
12156904,Heraklion,Clay 9,24217,Greece
12156934,Indore,Court 2,19926,India
12156935,Antalya,Court 22,28265,Turkey
12156939,Heraklion,Court Clay 12,27792,Greece
12156953,Larnaca,Court 7,39284,Cyprus
12156954,Solarino,Court 4,20446,Italy
12156960,New Delhi,Court 7,31554,India
12157141,Heraklion,Clay 7,24218,Greece
12157146,Sharm El Sheikh,Court 3,17612,Egypt
12157147,New Delhi,Court 7,31554,India
12157148,Heraklion,Hard Court 4,27697,Greece
12157149,Les Franqueses Del Valles,Court 3,21756,Spain
12157150,Antalya,Court 4,18123,Turkey
12157151,Alaminos,Court 1,43819,Cyprus
12157152,Aktobe,Court 1,20375,Kazakhstan
12157157,Trimbach,Court 1,31603,Switzerland
12157179,Larnaca,Court 1,39130,Cyprus
12157230,Aktobe,Court 4,20376,Kazakhstan
12157240,Solarino,Court 4,20446,Italy
12157242,Larnaca,Court 1,39130,Cyprus
12157244,Larnaca,Court 6,39288,Cyprus
12157245,Trimbach,Court 1,31603,Switzerland
12157246,Antalya,Court 21,28266,Turkey
12157248,Solarino,Court 2,20444,Italy
12157271,Larnaca,Court 2,39124,Cyprus
12157272,Antalya,Court 1,17286,Turkey
12157273,Sharm El Sheikh,Court 3,17612,Egypt
12157281,Karaganda,Court 7,33335,Kazakhstan
12157297,Creteil,Court 2,34082,France
12157298,Rovinj,Eden 10,20619,Croatia
12157307,New Delhi,COURT 6,31552,India
12157315,Heraklion,Hard Court 21,32154,Greece
12157333,Indore,COURT 1,19841,India
12157367,Antalya,Court 21,28266,Turkey
12157368,Heraklion,Hard Court 20,32153,Greece
12157393,Heraklion,Hard Court 20,32153,Greece
12157394,Vale de Lobo,Court 5,28661,Portugal
12157395,Heraklion,Center Court,28513,Greece
12157399,Karaganda,Court 6,33337,Kazakhstan
12157400,Ricany,Court 2,18173,Czech Republic
12157408,Monastir,Court 1,23881,Tunisia
12157409,Vale de Lobo,Court 5,28661,Portugal
12157418,Rovinj,Eden 12,20706,Croatia
12157432,Larnaca,Court 4,39122,Cyprus
12157433,Sharm El Sheikh,Court 4,28799,Egypt
12157434,Sharm El Sheikh,Court 6,33930,Egypt
12157451,Feira de Santana,Court 3,43834,Brazil
12157458,Les Franqueses Del Valles,Court 1,21752,Spain
12157459,Heraklion,Clay 8,24216,Greece
12157469,Gonesse,Court 3,20792,France
12157470,Antalya,Court 5,18121,Turkey
12157486,Alaminos,Court 4,43813,Cyprus
12157499,Sharm El Sheikh,Court 6,33930,Egypt
12157504,Aktobe,Court 4,20376,Kazakhstan
12157508,Rovinj,Eden 1,20614,Croatia
12157509,Alaminos,Court 3,43814,Cyprus
12157517,Karaganda,Court 4,33338,Kazakhstan
12157518,Heraklion,Clay 10,24243,Greece
12157519,Aktobe,Court 3,24571,Kazakhstan
12157521,Heraklion,Center Court,28513,Greece
12157522,Alaminos,Court 2,43821,Cyprus
12157523,Antalya,Court 2,31437,Turkey
12157524,Monastir,Court 3,23363,Tunisia
12157525,Karaganda,Court 6,33337,Kazakhstan
12157534,Sao Joao da Boa Vista,Court 5,43841,Brazil
12157541,Heraklion,Court Clay 12,27792,Greece
12157561,Antalya,Court 2,31437,Turkey
12157571,Trimbach,Court 2,31602,Switzerland
12157572,Trimbach,Court 3,31604,Switzerland
12157613,Alaminos,Court 2,43821,Cyprus
12157614,Solarino,Court 3,20445,Italy
12157616,Vale de Lobo,Court 7,43823,Portugal
12157683,Vale de Lobo,Court 6,28665,Portugal
12157684,Ricany,Court 3,18168,Czech Republic
12157685,Vale de Lobo,Court 6,28665,Portugal
12157690,Sharm El Sheikh,Court 3,17612,Egypt
12157691,Rovinj,Eden 1,20614,Croatia
12157692,Heraklion,Hard Court 21,32154,Greece
12157694,Monastir,Court 4,23364,Tunisia
12157695,Sharm El Sheikh,Court 1,28802,Egypt
12157709,Sharm El Sheikh,Court 4,28799,Egypt
12157738,Monastir,Centre Court,34777,Tunisia
12157739,Ricany,Court 3,18168,Czech Republic
12157740,Antalya,Court 5,18121,Turkey
12157757,Alaminos,Court 3,43814,Cyprus
12157772,Gonesse,Court 2,20794,France
12157774,Solarino,Court 2,20444,Italy
12157775,Solarino,Court 3,20445,Italy
12157805,Vale de Lobo,Court 8,28663,Portugal
12157831,Antalya,Court 2,31437,Turkey
12157832,Monastir,Centre Court,34777,Tunisia
12157837,Antalya,Court 3,18122,Turkey
12157838,Antalya,Court 22,28265,Turkey
12157917,Les Franqueses Del Valles,Centre Court,33428,Spain
12157918,Sao Joao da Boa Vista,Court 2,43842,Brazil
12157919,Rovinj,Eden 10,20619,Croatia
12157939,Sharm El Sheikh,Court 4,28799,Egypt
12157962,Heraklion,Hard Court 4,27697,Greece
12157964,Sharm El Sheikh,Court 2,28801,Egypt
12157965,Rovinj,Eden 1,20614,Croatia
12158032,Ricany,Court 2,18173,Czech Republic
12158033,Heraklion,Clay 10,24243,Greece
12158044,Sharm El Sheikh,Court 5,33931,Egypt
12158051,Heraklion,Clay 11,28652,Greece
12158052,Monastir,Court 5,23362,Tunisia
12158054,Sharm El Sheikh,Court 4,28799,Egypt
12158075,Alaminos,Court 6,43818,Cyprus
12158078,Vale de Lobo,Court 7,43823,Portugal
12158080,Monastir,Court 1,23881,Tunisia
